bot_worker-1  | 2026-03-24 01:21:41,203 [INFO] [gpt-5.4-mini] Tokens: 3119 in / 99 out / 3218 total | cost ~$0.0093
bot_worker-1  | 2026-03-24 01:23:17,979 [INFO] [gpt-5.4-mini] Tokens: 6486 in / 111 out / 6597 total | cost ~$0.0179
bot_worker-1  | 2026-03-24 01:25:25,164 [INFO] [gpt-5.4-mini] Tokens: 6633 in / 111 out / 6744 total | cost ~$0.0182
bot_worker-1  | 2026-03-24 01:26:45,313 [INFO] [gpt-5.4-mini] Tokens: 7074 in / 95 out / 7169 total | cost ~$0.0191
bot_worker-1  | 2026-03-24 01:27:36,569 [INFO] [gpt-5.4-mini] Tokens: 7109 in / 71 out / 7180 total | cost ~$0.0188
bot_worker-1  | 2026-03-24 01:28:25,527 [INFO] [gpt-5.4-mini] Tokens: 7023 in / 83 out / 7106 total | cost ~$0.0188
bot_worker-1  | 2026-03-24 01:29:55,124 [INFO] [gpt-5.4-mini] Tokens: 7044 in / 68 out / 7112 total | cost ~$0.0186
bot_worker-1  | 2026-03-24 01:30:50,804 [INFO] [gpt-5.4-mini] Tokens: 6965 in / 83 out / 7048 total | cost ~$0.0187
bot_worker-1  | 2026-03-24 01:31:31,732 [INFO] [gpt-5.4-mini] Tokens: 5887 in / 106 out / 5993 total | cost ~$0.0163
bot_worker-1  | 2026-03-24 01:32:29,566 [INFO] [gpt-5.4-mini] Tokens: 5686 in / 112 out / 5798 total | cost ~$0.0159
bot_worker-1  | 2026-03-24 01:33:04,418 [INFO] [gpt-5.4-mini] Tokens: 5707 in / 85 out / 5792 total | cost ~$0.0155
bot_worker-1  | 2026-03-24 01:33:34,580 [INFO] [gpt-5.4-mini] Tokens: 5609 in / 87 out / 5696 total | cost ~$0.0153
bot_worker-1  | 2026-03-24 01:34:33,028 [INFO] [gpt-5.4-mini] Tokens: 6973 in / 69 out / 7042 total | cost ~$0.0185
bot_worker-1  | 2026-03-24 01:35:06,519 [INFO] [gpt-5.4-mini] Tokens: 6956 in / 14 out / 6970 total | cost ~$0.0176
bot_worker-1  | 2026-03-24 01:35:30,726 [INFO] [gpt-5.4-mini] Tokens: 6845 in / 61 out / 6906 total | cost ~$0.0180
bot_worker-1  | 2026-03-24 01:35:58,375 [INFO] [gpt-5.4-mini] Tokens: 7049 in / 81 out / 7130 total | cost ~$0.0188
bot_worker-1  | 2026-03-24 01:36:49,732 [INFO] [gpt-5.4-mini] Tokens: 7058 in / 104 out / 7162 total | cost ~$0.0192
bot_worker-1  | 2026-03-24 01:37:36,085 [INFO] [gpt-5.4-mini] Tokens: 6945 in / 112 out / 7057 total | cost ~$0.0190
bot_worker-1  | 2026-03-24 01:38:21,604 [INFO] [gpt-5.4-mini] Tokens: 6992 in / 60 out / 7052 total | cost ~$0.0184
bot_worker-1  | 2026-03-24 01:38:46,290 [INFO] [gpt-5.4-mini] Tokens: 6872 in / 124 out / 6996 total | cost ~$0.0190
bot_worker-1  | 2026-03-24 01:40:07,317 [INFO] [gpt-5.4-mini] Tokens: 6873 in / 116 out / 6989 total | cost ~$0.0189
bot_worker-1  | 2026-03-24 01:41:13,441 [INFO] [gpt-5.4-mini] Tokens: 6896 in / 91 out / 6987 total | cost ~$0.0186
bot_worker-1  | 2026-03-24 01:41:57,226 [INFO] [gpt-5.4-mini] Tokens: 7124 in / 65 out / 7189 total | cost ~$0.0188
bot_worker-1  | 2026-03-24 01:42:46,955 [INFO] [gpt-5.4-mini] Tokens: 6878 in / 90 out / 6968 total | cost ~$0.0185
bot_worker-1  | 2026-03-24 01:43:44,984 [INFO] [gpt-5.4-mini] Tokens: 7568 in / 94 out / 7662 total | cost ~$0.0203
bot_worker-1  | 2026-03-24 01:44:26,210 [INFO] [gpt-5.4-mini] Tokens: 7526 in / 33 out / 7559 total | cost ~$0.0193
bot_worker-1  | 2026-03-24 01:45:29,697 [INFO] [gpt-5.4-mini] Tokens: 7013 in / 90 out / 7103 total | cost ~$0.0189
